Ref,Val,Package,PosX,PosY,Rot,Side
"C100","1u","C_0603_1608Metric",157.300000,-80.770000,180.000000,top
"C101","1u","C_0603_1608Metric",157.300000,-77.770000,0.000000,top
"C102","22u","C_0805_2012Metric",145.040000,-99.220000,-90.000000,top
"C103","22u","C_0805_2012Metric",148.500000,-102.100000,180.000000,top
"C104","22u","C_0805_2012Metric",150.840000,-75.120000,-90.000000,top
"C105","22u","C_0805_2012Metric",157.840000,-75.120000,-90.000000,top
"C106","DNP","C_0402_1005Metric",154.340000,-78.770000,180.000000,top
"C107","22u","C_0805_2012Metric",150.300000,-111.045000,-90.000000,top
"C108","100n","C_0402_1005Metric",148.110000,-104.242500,180.000000,top
"C200","10u","C_0603_1608Metric",137.400000,-79.220000,90.000000,top
"C201","100n","C_0402_1005Metric",139.040000,-79.740000,90.000000,top
"C202","100n","C_0402_1005Metric",147.750000,-89.000000,180.000000,top
"C203","100n","C_0402_1005Metric",151.100000,-79.600000,90.000000,top
"C204","100n","C_0402_1005Metric",142.520000,-76.960000,0.000000,top
"C205","10n","C_0402_1005Metric",139.040000,-84.470000,90.000000,top
"C206","1u","C_0603_1608Metric",137.540000,-84.945000,90.000000,top
"C207","1u","C_0603_1608Metric",135.540000,-84.945000,90.000000,top
"C208","10p","C_0402_1005Metric",135.480000,-81.720000,180.000000,top
"C209","10p","C_0402_1005Metric",130.700000,-81.270000,-90.000000,top
"C210","100n","C_0402_1005Metric",158.500000,-85.700000,180.000000,top
"C211","100n","C_0402_1005Metric",147.490000,-69.640000,-90.000000,top
"C212","100n","C_0402_1005Metric",130.040000,-76.850000,180.000000,top
"C300","150p","C_0402_1005Metric",142.410000,-108.100000,90.000000,top
"C301","100n","C_0402_1005Metric",142.410000,-110.190000,90.000000,top
"C302","100n","C_0402_1005Metric",144.010000,-108.570000,180.000000,top
"C303","1n","C_0402_1005Metric",146.850000,-108.100000,-90.000000,top
"C304","150p","C_0402_1005Metric",140.690000,-103.545000,0.000000,top
"C305","1n","C_0402_1005Metric",143.000000,-104.065000,90.000000,top
"C306","100n","C_0402_1005Metric",142.040000,-98.720000,180.000000,top
"C307","150p","C_0402_1005Metric",137.000000,-99.200000,0.000000,top
"C308","10u","C_0603_1608Metric",133.777500,-101.270000,0.000000,top
"C309","10u","C_0603_1608Metric",133.752500,-99.520000,0.000000,top
"C310","10u","C_0603_1608Metric",132.752500,-96.785000,90.000000,top
"C311","100n","C_0402_1005Metric",134.252500,-97.040000,90.000000,top
"C312","10u","C_0603_1608Metric",132.502500,-93.245000,-90.000000,top
"C313","100n","C_0402_1005Metric",134.002500,-92.740000,-90.000000,top
"C314","100n","C_0402_1005Metric",133.584229,-90.925838,180.000000,top
"C315","10u","C_0603_1608Metric",133.584229,-89.425838,180.000000,top
"C400","10u","C_0603_1608Metric",163.850000,-90.700000,90.000000,top
"C401","100n","C_0402_1005Metric",165.250000,-90.820000,90.000000,top
"C402","1u","C_0603_1608Metric",163.075000,-93.150000,180.000000,top
"C403","1n","C_0402_1005Metric",163.810000,-100.420000,0.000000,top
"C404","150p","C_0402_1005Metric",161.500000,-100.400000,0.000000,top
"C405","1n","C_0402_1005Metric",161.000000,-97.600000,-90.000000,top
"C406","100n","C_0402_1005Metric",157.930000,-96.820000,0.000000,top
"D100","GREEN","LED_0603_1608Metric",159.840000,-75.100000,90.000000,top
"D200","LED_RGB_E6C1206RGBC3UDA","LED_Cree-PLCC4_2x2mm_CW",145.000000,-69.270000,0.000000,top
"D201","PESD3V3L1BA,115","D_SOD-323",139.800000,-68.350000,-90.000000,top
"D202","PESD3V3L1BA,115","D_SOD-323",139.830000,-72.370000,90.000000,top
"D203","PESD3V3L1BA,115","D_SOD-323",136.540000,-76.220000,180.000000,top
